dauid,remainder_claims
59010124,1
59010128,1
59010129,1
59010131,1
59010132,1
59010133,1
59010140,1
59010142,1
59010143,1
59010149,1
59010150,1
59010151,1
59010152,1
59010154,1
59010155,2
59010156,1
59010157,1
59010158,2
59010161,1
59010164,3
59010168,1
59010169,2
59010172,1
59010175,3
59010176,2
59010177,1
59010178,1
59010179,1
59010183,2
59010184,1
59010186,2
59010187,1
59010188,1
59010189,1
59010190,2
59010191,2
59010192,3
59010193,1
59010194,1
59010195,1
59010196,1
59010198,5
59010204,1
59010206,2
59010207,2
59010208,1
59010211,1
59010213,1
59010218,1
59010219,1
59010220,1
59010222,1
59010223,2
59010228,1
59010229,1
59010232,1
59010234,1
59010245,1
59010258,1
59010260,1
59010269,1
59030131,1
59030139,3
59030140,2
59030145,1
59030146,1
59030147,3
59030148,2
59030149,3
59030150,3
59030151,1
59030153,1
59030154,3
59030156,1
59030160,1
59030161,1
59030164,1
59030170,1
59030175,1
59030178,1
59030179,1
59030180,2
59030182,1
59030183,2
59030184,1
59030187,1
59030188,1
59030189,1
59030190,1
59030191,1
59030196,1
59030199,1
59030200,1
59030202,1
59030204,3
59030207,2
59030208,1
59030209,2
59030210,4
59030213,1
59030214,1
59030215,1
59030216,3
59030220,1
59030222,1
59030223,1
59030224,1
59030226,1
59030231,1
59030237,1
59030238,1
59030247,1
59030249,2
59050065,1
59050066,3
59050067,1
59050068,2
59050069,1
59050070,1
59050071,3
59050072,3
59050076,1
59050077,1
59050081,1
59050086,1
59050094,2
59050095,1
59050097,1
59050098,1
59050102,1
59050110,1
59050111,1
59050113,2
59050115,1
59050118,1
59070139,1
59070141,1
59070142,3
59070145,1
59070151,2
59070152,2
59070153,1
59070157,1
59070160,1
59070161,2
59070162,2
59070164,1
59070168,1
59070170,1
59070171,1
59070173,2
59070174,2
59070175,1
59070181,1
59070187,2
59070189,3
59070190,1
59070191,3
59070194,1
59070195,3
59070196,1
59070197,3
59070198,1
59070199,2
59070202,1
59070203,2
59070204,1
59070208,1
59070210,2
59070211,3
59070212,5
59070213,2
59070214,2
59070216,1
59070217,2
59070218,3
59070219,2
59070220,2
59070221,2
59070222,1
59070223,1
59070227,2
59070228,3
59070229,1
59070232,3
59070234,1
59070235,1
59070236,2
59070237,4
59070238,3
59070239,1
59070241,2
59070242,2
59070243,1
59070244,2
59070245,2
59070246,4
59070247,3
59070248,1
59070249,2
59070250,2
59070252,2
59070253,2
59070255,1
59070256,3
59070258,2
59070260,2
59070261,3
59070264,1
59070266,4
59070267,1
59070269,3
59070270,5
59070273,1
59070274,3
59070276,1
59070279,2
59070281,1
59070283,1
59070284,1
59070285,1
59070286,1
59070287,1
59070288,3
59070289,3
59070291,1
59070293,2
59070294,2
59070297,1
59070298,1
59070303,1
59070308,1
59070315,3
59070318,1
59090049,4
59090051,2
59090054,2
59090055,3
59090057,2
59090058,1
59090061,3
59090062,1
59090064,2
59090065,2
59090066,2
59090068,2
59090069,2
59090072,2
59090073,3
59090074,2
59090075,3
59090078,1
59090082,2
59090083,1
59090084,4
59090086,1
59090087,4
59090088,3
59090089,3
59090090,2
59090091,1
59090092,4
59090094,4
59090095,3
59090096,2
59090097,1
59090098,3
59090099,1
59090100,2
59090101,2
59090102,1
59090103,5
59090104,1
59090105,1
59090106,2
59090108,2
59090109,3
59090110,4
59090111,4
59090112,1
59090115,1
59090116,1
59090121,1
59090122,1
59090123,2
59090126,2
59090127,1
59090128,5
59090131,3
59090134,2
59090135,2
59090136,1
59090137,3
59090140,3
59090141,1
59090145,1
59090146,1
59090148,1
59090149,1
59090150,3
59090151,2
59090152,1
59090153,1
59090154,2
59090156,1
59090157,4
59090158,4
59090159,2
59090165,1
59090166,1
59090169,2
59090170,2
59090171,5
59090172,2
59090374,1
59090375,1
59090376,1
59090378,2
59090379,1
59090380,3
59090382,2
59090383,1
59090384,2
59090385,1
59090386,5
59090387,3
59090388,3
59090390,4
59090391,1
59090392,3
59090393,1
59090394,3
59090395,4
59090396,1
59090400,2
59090401,3
59090402,3
59090403,2
59090404,1
59090424,1
59090425,3
59090428,1
59090429,4
59090439,4
59090444,5
59090446,2
59090447,1
59090451,1
59090464,2
59090466,1
59090467,1
59090468,2
59090469,2
59090471,2
59090472,2
59090473,1
59090474,1
59090475,1
59090476,4
59090478,3
59090479,3
59090480,1
59090482,2
59090483,2
59090484,1
59090485,3
59090488,1
59090489,3
59090490,2
59090491,4
59090492,2
59090493,1
59090494,1
59090495,1
59090496,1
59090497,2
59090498,2
59090499,3
59090500,3
59090501,2
59090502,2
59090503,2
59090504,1
59090505,3
59090506,2
59090507,2
59090509,1
59090510,4
59090514,1
59090515,2
59090516,1
59090517,2
59090518,2
59090520,1
59090524,1
59090526,2
59090530,3
59090531,1
59090532,1
59090533,3
59090534,1
59090535,1
59090536,1
59090537,1
59090538,1
59090539,3
59090540,2
59090542,3
59090543,2
59090544,1
59090545,3
59090547,1
59090550,1
59090551,3
59090552,4
59090553,4
59090554,2
59090555,3
59090556,2
59090557,2
59090559,4
59090564,1
59090565,1
59090566,2
59090567,2
59090569,2
59090570,1
59090571,3
59090578,1
59090579,2
59090580,1
59090581,5
59090582,1
59090583,2
59090585,2
59090586,3
59090591,2
59090593,5
59090596,1
59090597,2
59090603,1
59090605,2
59090606,2
59090607,2
59090609,1
59090610,2
59090612,1
59090613,1
59090614,1
59090615,1
59090636,1
59090637,1
59090638,1
59090645,4
59090646,2
59090649,2
59090650,1
59090655,1
59090660,1
59090661,1
59090662,2
59090664,1
59090665,1
59090666,1
59090670,4
59090671,2
59090680,5
59090681,2
59090682,5
59090683,1
59090684,1
59090689,2
59090690,2
59090691,3
59090692,2
59090696,1
59090700,1
59090701,1
59090702,5
59090703,1
59090704,2
59090707,3
59090708,4
59090709,1
59090710,1
59090713,3
59090714,2
59090716,1
59090717,1
59090719,3
59090721,2
59090723,1
59090727,1
59090734,1
59090735,2
59090736,2
59090738,4
59090739,1
59090740,1
59090742,1
59090743,2
59090745,3
59090746,3
59090747,3
59090748,1
59090749,2
59090750,1
59090751,4
59090752,1
59090753,2
59090754,4
59090755,2
59090757,3
59090758,2
59090759,4
59090760,1
59090761,2
59090765,2
59090768,4
59090780,1
59090781,1
59090782,2
59090783,4
59090786,2
59090787,3
59090792,4
59090793,4
59090799,1
59090803,1
59090812,1
59090816,3
59090819,1
59090820,2
59090821,1
59090824,3
59090825,4
59090826,1
59090829,1
59090830,3
59090831,1
59090832,1
59090834,2
59090838,1
59090839,2
59090845,2
59090846,1
59090847,3
59090848,2
59090850,2
59090852,3
59090854,2
59090856,3
59090857,2
59090859,4
59090861,1
59090865,1
59090868,1
59090872,1
59090874,2
59090875,2
59090884,2
59090885,3
59090888,1
59090891,4
59090892,1
59090893,1
59090894,1
59090895,1
59090896,1
59090897,1
59090902,2
59090904,4
59090905,2
59090906,3
59090907,2
59090908,1
59090909,2
59090910,1
59090911,1
59090912,2
59090917,1
59090918,2
59090919,4
59090920,1
59090922,5
59090923,1
59090924,1
59090925,1
59090927,1
59090928,1
59090929,3
59090930,3
59090931,1
59090939,1
59090941,1
59090942,1
59090944,1
59090945,1
59090946,3
59090947,1
59090949,2
59090955,3
59090956,2
59090959,3
59090961,1
59090963,1
59090964,1
59090965,1
59090966,1
59090967,2
59090968,2
59090972,2
59090973,2
59090975,1
59090976,2
59090978,1
59090981,1
59150004,2
59150005,1
59150008,1
59150009,1
59150010,2
59150012,3
59150013,1
59150014,1
59150016,1
59150018,3
59150020,1
59150023,2
59150024,1
59150025,1
59150027,1
59150028,1
59150029,1
59150030,2
59150031,2
59150032,2
59150034,2
59150036,3
59150037,2
59150038,1
59150039,4
59150040,1
59150041,5
59150042,2
59150043,1
59150044,2
59150045,2
59150046,1
59150047,2
59150048,4
59150049,1
59150050,4
59150051,3
59150053,1
59150054,2
59150055,2
59150056,3
59150059,2
59150064,2
59150067,1
59150069,3
59150071,1
59150072,3
59150073,2
59150076,3
59150077,1
59150078,1
59150079,1
59150080,1
59150081,5
59150082,3
59150083,5
59150084,4
59150085,3
59150086,2
59150087,2
59150088,4
59150089,1
59150090,2
59150091,2
59150092,2
59150093,2
59150094,1
59150095,2
59150096,1
59150098,1
59150099,1
59150101,1
59150102,1
59150103,2
59150105,1
59150106,3
59150108,2
59150109,3
59150110,3
59150112,1
59150113,3
59150115,2
59150117,4
59150119,3
59150120,2
59150121,1
59150122,3
59150123,4
59150124,2
59150126,3
59150127,2
59150129,1
59150132,2
59150134,2
59150135,2
59150136,1
59150137,2
59150140,1
59150141,4
59150142,1
59150143,2
59150145,1
59150147,2
59150148,4
59150152,1
59150153,3
59150157,1
59150158,2
59150159,3
59150160,3
59150161,2
59150162,1
59150163,2
59150164,1
59150165,2
59150166,1
59150174,1
59150175,2
59150176,1
59150178,3
59150181,2
59150182,3
59150183,3
59150184,1
59150185,4
59150186,5
59150187,3
59150189,1
59150190,4
59150191,2
59150192,2
59150193,1
59150194,3
59150195,4
59150196,3
59150197,2
59150198,1
59150199,2
59150200,1
59150201,2
59150202,2
59150203,2
59150204,1
59150205,2
59150206,1
59150208,1
59150209,2
59150212,2
59150213,1
59150219,2
59150221,4
59150222,1
59150224,1
59150225,1
59150226,2
59150227,1
59150229,1
59150230,1
59150231,2
59150232,4
59150235,1
59150236,2
59150238,1
59150240,4
59150241,2
59150242,2
59150243,1
59150244,2
59150250,3
59150253,1
59150255,2
59150260,1
59150261,1
59150262,1
59150263,3
59150264,3
59150265,1
59150266,2
59150269,1
59150270,1
59150271,1
59150272,2
59150273,1
59150275,2
59150276,1
59150277,3
59150278,3
59150279,2
59150280,1
59150282,3
59150284,1
59150285,2
59150286,1
59150287,3
59150288,3
59150289,5
59150290,1
59150291,1
59150292,2
59150294,4
59150295,4
59150296,2
59150297,4
59150300,1
59150301,1
59150304,1
59150305,1
59150308,1
59150309,3
59150310,1
59150311,2
59150312,1
59150315,1
59150316,2
59150318,4
59150319,3
59150320,4
59150321,1
59150322,2
59150323,1
59150324,3
59150326,3
59150327,1
59150328,1
59150329,1
59150330,1
59150331,3
59150332,4
59150333,2
59150334,2
59150335,1
59150337,1
59150338,1
59150339,3
59150340,2
59150341,5
59150342,4
59150343,2
59150344,1
59150345,3
59150346,4
59150347,4
59150348,2
59150349,1
59150350,3
59150351,1
59150352,2
59150353,2
59150354,2
59150355,1
59150356,2
59150357,4
59150358,5
59150359,3
59150360,4
59150361,2
59150362,2
59150363,2
59150364,4
59150365,5
59150366,3
59150367,2
59150368,1
59150369,3
59150371,1
59150373,3
59150375,1
59150376,1
59150377,1
59150378,3
59150379,2
59150380,1
59150381,4
59150382,1
59150383,1
59150384,1
59150385,2
59150386,1
59150387,1
59150388,1
59150389,3
59150390,4
59150392,6
59150393,2
59150394,1
59150395,1
59150396,3
59150397,1
59150398,2
59150399,1
59150400,1
59150401,3
59150402,1
59150403,2
59150404,2
59150405,2
59150406,3
59150407,1
59150408,6
59150409,1
59150410,3
59150412,2
59150414,3
59150415,2
59150416,1
59150417,2
59150419,1
59150420,3
59150421,8
59150422,2
59150423,1
59150424,4
59150425,2
59150426,2
59150427,2
59150428,1
59150429,4
59150430,2
59150431,3
59150432,1
59150433,1
59150434,4
59150435,2
59150436,1
59150437,4
59150438,1
59150439,3
59150440,1
59150442,3
59150443,4
59150445,2
59150446,1
59150447,2
59150448,2
59150449,1
59150450,2
59150451,1
59150454,3
59150455,4
59150457,3
59150459,3
59150460,1
59150461,6
59150462,2
59150463,2
59150465,3
59150466,1
59150468,2
59150469,3
59150470,1
59150471,2
59150472,1
59150473,5
59150474,2
59150475,2
59150476,1
59150477,1
59150478,4
59150480,1
59150481,2
59150482,4
59150483,1
59150484,1
59150485,3
59150488,1
59150489,2
59150490,2
59150491,1
59150492,3
59150493,2
59150495,4
59150496,4
59150497,1
59150498,1
59150499,4
59150500,1
59150503,3
59150504,5
59150505,2
59150507,4
59150508,4
59150510,2
59150511,3
59150512,5
59150513,2
59150514,1
59150515,3
59150516,3
59150518,1
59150520,4
59150522,4
59150523,1
59150524,3
59150526,6
59150527,5
59150529,2
59150531,4
59150535,1
59150536,2
59150538,3
59150539,1
59150540,2
59150541,3
59150542,1
59150543,1
59150544,2
59150545,4
59150546,4
59150548,2
59150549,1
59150550,1
59150551,1
59150552,1
59150553,2
59150554,3
59150555,4
59150556,1
59150557,4
59150558,1
59150559,1
59150560,3
59150561,2
59150562,3
59150563,2
59150564,2
59150565,4
59150566,1
59150567,1
59150568,4
59150570,2
59150571,3
59150572,1
59150575,3
59150577,3
59150579,1
59150580,1
59150582,2
59150584,1
59150585,2
59150586,5
59150587,1
59150588,2
59150589,1
59150590,1
59150591,1
59150592,1
59150593,2
59150594,1
59150595,2
59150596,1
59150597,2
59150598,2
59150599,2
59150600,6
59150601,1
59150602,2
59150603,1
59150605,2
59150606,1
59150607,1
59150608,4
59150609,1
59150610,3
59150611,5
59150612,1
59150613,1
59150614,3
59150615,4
59150617,3
59150618,2
59150619,2
59150620,4
59150621,1
59150622,3
59150623,6
59150624,5
59150625,1
59150626,2
59150627,3
59150628,4
59150629,1
59150633,2
59150634,1
59150635,1
59150636,3
59150637,2
59150638,1
59150639,2
59150640,3
59150641,1
59150642,1
59150643,3
59150644,1
59150645,5
59150646,1
59150647,2
59150648,1
59150649,1
59150650,2
59150651,2
59150652,5
59150653,3
59150654,3
59150655,1
59150657,4
59150658,1
59150659,2
59150660,1
59150661,4
59150662,3
59150663,2
59150664,1
59150665,1
59150666,3
59150667,4
59150668,1
59150670,1
59150671,2
59150672,2
59150673,2
59150674,2
59150675,2
59150676,3
59150677,1
59150678,2
59150679,2
59150680,3
59150681,2
59150684,2
59150685,1
59150686,3
59150687,2
59150690,1
59150691,2
59150692,1
59150693,3
59150694,3
59150695,2
59150696,1
59150697,1
59150698,1
59150699,4
59150701,2
59150702,4
59150704,4
59150705,6
59150706,2
59150708,1
59150709,7
59150710,1
59150711,2
59150712,4
59150713,1
59150714,2
59150715,2
59150716,4
59150717,3
59150718,1
59150719,2
59150720,1
59150721,2
59150722,3
59150723,2
59150724,5
59150725,4
59150726,1
59150727,4
59150728,2
59150729,1
59150730,2
59150731,2
59150732,3
59150733,4
59150734,5
59150738,1
59150739,3
59150740,3
59150741,2
59150742,3
59150743,3
59150744,3
59150745,1
59150746,2
59150747,3
59150748,2
59150749,1
59150750,5
59150751,6
59150753,1
59150754,1
59150755,3
59150756,3
59150757,4
59150758,1
59150759,6
59150760,4
59150761,2
59150762,3
59150763,4
59150777,2
59150779,2
59150782,2
59150784,1
59150785,3
59150786,1
59150787,1
59150788,1
59150790,2
59150791,1
59150792,1
59150793,5
59150795,6
59150816,3
59150817,2
59150819,2
59150821,2
59150822,2
59150823,4
59150827,1
59150828,1
59150832,3
59150840,2
59150841,1
59150845,2
59150846,1
59150850,3
59150859,2
59150861,2
59150863,3
59150864,1
59150865,3
59150866,3
59150871,1
59150872,2
59150873,1
59150874,1
59150876,2
59150877,1
59150878,1
59150879,3
59150880,1
59150881,3
59150882,4
59150883,2
59150886,2
59150887,3
59150888,1
59150890,1
59150891,1
59150892,1
59150893,2
59150894,3
59150895,4
59150896,2
59150897,1
59150898,1
59150900,2
59150902,2
59150903,3
59150904,2
59150905,1
59150906,1
59150907,1
59150908,5
59150909,2
59150910,2
59150912,2
59150913,1
59150914,3
59150915,1
59150916,2
59150917,2
59150922,1
59150924,1
59150925,2
59150926,3
59150927,3
59150928,1
59150929,1
59150930,2
59150935,2
59150936,3
59150938,1
59150939,1
59150941,2
59150946,1
59150953,1
59150955,2
59150957,5
59150958,2
59150959,2
59150960,2
59150961,3
59150962,2
59150963,1
59150964,2
59150965,2
59150966,1
59150967,1
59150968,1
59150969,2
59150970,2
59150971,2
59150972,2
59150973,4
59150974,1
59150975,1
59150977,3
59150979,1
59150980,3
59150982,1
59150983,5
59150984,4
59150985,2
59150986,1
59150987,1
59150992,2
59150993,2
59150994,2
59150995,2
59150996,2
59150998,1
59151002,1
59151013,3
59151015,2
59151016,4
59151018,4
59151019,3
59151020,2
59151022,4
59151023,3
59151024,2
59151026,2
59151027,2
59151028,1
59151029,2
59151030,2
59151031,1
59151032,4
59151034,1
59151036,4
59151038,2
59151039,1
59151040,2
59151042,4
59151043,1
59151045,2
59151046,2
59151048,2
59151049,2
59151053,1
59151057,2
59151058,2
59151061,1
59151062,2
59151065,3
59151067,1
59151068,2
59151072,2
59151074,3
59151076,3
59151077,1
59151079,4
59151080,2
59151081,3
59151082,1
59151083,2
59151084,2
59151085,3
59151087,5
59151088,2
59151090,1
59151091,1
59151092,3
59151093,2
59151094,1
59151095,1
59151097,2
59151098,3
59151099,1
59151100,3
59151101,1
59151102,4
59151103,1
59151105,4
59151107,4
59151108,1
59151112,1
59151116,2
59151117,1
59151122,2
59151124,1
59151125,2
59151127,1
59151129,2
59151130,2
59151132,1
59151133,3
59151134,2
59151136,1
59151137,4
59151138,2
59151139,1
59151141,2
59151142,1
59151143,3
59151146,3
59151147,2
59151148,2
59151149,2
59151150,3
59151151,1
59151152,3
59151153,1
59151154,4
59151156,4
59151157,2
59151158,2
59151159,4
59151160,2
59151161,3
59151162,2
59151163,1
59151164,1
59151167,1
59151168,1
59151169,5
59151170,2
59151172,1
59151173,3
59151174,2
59151175,1
59151178,1
59151179,2
59151180,2
59151182,2
59151195,3
59151197,4
59151198,1
59151199,2
59151200,3
59151201,2
59151202,4
59151203,2
59151204,2
59151205,1
59151206,3
59151208,2
59151209,1
59151211,1
59151213,3
59151214,1
59151215,1
59151216,1
59151217,3
59151219,3
59151220,2
59151222,3
59151223,2
59151224,1
59151225,2
59151226,2
59151227,3
59151229,5
59151231,2
59151232,1
59151236,2
59151237,1
59151238,4
59151239,1
59151240,1
59151241,3
59151242,2
59151243,3
59151244,2
59151252,2
59151254,4
59151256,1
59151257,1
59151258,1
59151259,2
59151260,2
59151261,4
59151262,4
59151263,3
59151265,3
59151266,4
59151267,2
59151268,3
59151269,3
59151270,2
59151271,1
59151272,3
59151273,4
59151274,1
59151275,4
59151276,1
59151277,4
59151278,1
59151279,1
59151280,1
59151281,3
59151283,3
59151284,2
59151286,1
59151288,1
59151289,3
59151291,2
59151292,3
59151293,3
59151294,4
59151297,2
59151298,4
59151299,3
59151300,1
59151302,2
59151304,1
59151307,1
59151308,3
59151309,4
59151311,2
59151312,8
59151314,3
59151315,1
59151316,1
59151317,1
59151318,2
59151319,1
59151320,2
59151322,2
59151327,3
59151328,1
59151329,1
59151332,1
59151338,1
59151339,1
59151340,1
59151342,3
59151343,3
59151346,3
59151347,1
59151348,2
59151349,2
59151350,3
59151351,1
59151353,2
59151354,1
59151358,3
59151359,3
59151360,3
59151361,1
59151362,3
59151363,2
59151364,1
59151365,1
59151366,2
59151367,2
59151368,4
59151369,4
59151370,1
59151371,1
59151372,2
59151373,1
59151374,4
59151375,1
59151376,2
59151377,2
59151378,1
59151379,3
59151380,2
59151381,1
59151382,1
59151383,3
59151384,2
59151385,2
59151386,3
59151387,1
59151388,3
59151389,2
59151390,4
59151391,2
59151392,4
59151393,1
59151394,3
59151395,1
59151396,1
59151399,2
59151401,1
59151405,1
59151411,3
59151413,1
59151414,5
59151415,4
59151416,1
59151417,2
59151418,2
59151419,2
59151423,2
59151424,2
59151425,3
59151426,2
59151427,2
59151428,2
59151429,2
59151430,1
59151432,1
59151433,1
59151434,1
59151435,4
59151436,1
59151437,1
59151438,5
59151439,1
59151440,2
59151443,2
59151444,4
59151445,4
59151446,3
59151448,3
59151449,2
59151450,3
59151451,1
59151452,4
59151453,3
59151454,2
59151455,2
59151457,2
59151458,1
59151459,1
59151460,2
59151461,2
59151463,2
59151464,4
59151465,2
59151467,1
59151469,3
59151470,4
59151471,3
59151472,1
59151473,2
59151475,1
59151476,3
59151477,1
59151478,5
59151479,1
59151483,2
59151484,2
59151487,5
59151488,1
59151489,2
59151490,3
59151491,3
59151492,1
59151493,1
59151494,1
59151496,1
59151497,2
59151498,1
59151499,2
59151507,1
59151508,1
59151509,2
59151521,1
59151523,2
59151524,1
59151525,3
59151526,3
59151529,2
59151531,1
59151532,3
59151534,1
59151535,3
59151536,4
59151537,1
59151538,1
59151539,1
59151540,4
59151541,3
59151542,3
59151543,2
59151544,3
59151545,1
59151547,3
59151553,2
59151554,3
59151555,3
59151556,1
59151557,3
59151558,2
59151559,2
59151560,4
59151561,2
59151562,2
59151563,1
59151564,1
59151565,1
59151566,1
59151567,2
59151568,1
59151569,3
59151570,2
59151571,4
59151572,1
59151574,1
59151575,2
59151576,1
59151577,1
59151579,3
59151580,1
59151581,2
59151582,2
59151583,1
59151584,1
59151585,4
59151587,3
59151588,3
59151589,1
59151590,4
59151591,1
59151592,2
59151593,2
59151594,2
59151595,1
59151597,3
59151598,1
59151599,2
59151600,1
59151602,3
59151603,3
59151606,2
59151607,3
59151609,3
59151610,1
59151611,2
59151612,1
59151613,2
59151614,2
59151617,2
59151618,1
59151619,1
59151620,2
59151625,1
59151636,1
59151637,1
59151638,1
59151639,3
59151640,2
59151644,1
59151645,4
59151646,1
59151647,1
59151649,1
59151650,2
59151651,1
59151652,2
59151653,2
59151655,1
59151658,1
